,Id,tarih,mevsim,yıl,ay,tatil günü mü,gün,iş günü mü,havadurumu,hava sıcaklığı,hissedilen hava sıcaklığı,nem,rüzgar hızı,kiralanan bisiklet sayısı
0,1,2011-01-01,bahar,2011,1,0,6,0,2,14.110847,18.18125,80.58330000000000,10.749882,985
1,2,2011-01-02,bahar,2011,1,0,0,0,2,14.902598000000000,17.68695,69.6087,16.652113,801
2,3,2011-01-03,bahar,2011,1,0,1,1,1,8.050924,9.47025,43.7273,16.636703,1349
3,4,2011-01-04,bahar,2011,1,0,2,1,1,8.200000000000000,10.6061,59.0435,10.739832,1562
4,5,2011-01-05,bahar,2011,1,0,3,1,1,9.305237,11.463500000000000,43.695700000000000,12.522300000000000,1600
5,6,2011-01-06,bahar,2011,1,0,4,1,1,8.378268,11.66045,51.8261,6.0008684,1606
6,7,2011-01-07,bahar,2011,1,0,5,1,2,8.057402,10.44195,49.869600000000000,11.304642,1510
7,8,2011-01-08,bahar,2011,1,0,6,0,2,6.765000000000000,8.1127,53.5833,17.875868,959
8,9,2011-01-09,bahar,2011,1,0,0,0,1,5.671653000000000,5.80875,43.416700000000000,24.25065,822
9,10,2011-01-10,bahar,2011,1,0,1,1,1,6.184153,7.544400000000000,48.2917,14.958889000000000,1321
10,11,2011-01-11,bahar,2011,1,0,2,1,2,6.932731,9.573200000000000,68.63640000000000,8.182844,1263
11,12,2011-01-12,bahar,2011,1,0,3,1,1,7.0818070000000000,8.02365,59.954500000000000,20.410009,1162
12,13,2011-01-13,bahar,2011,1,0,4,1,1,6.765000000000000,7.544150000000000,47.041700000000000,20.167000000000000,1406
13,14,2011-01-14,bahar,2011,1,0,5,1,1,6.59567,9.42065,53.7826,8.478716,1421
14,15,2011-01-15,bahar,2011,1,0,6,0,2,9.566653000000000,12.4056,49.875,10.583521000000000,1248
15,16,2011-01-16,bahar,2011,1,0,0,0,1,9.498347,11.71085,48.375,12.625011000000000,1204
16,17,2011-01-17,bahar,2011,1,1,1,0,2,7.209153,8.838550000000000,53.75,12.999139,1000
17,18,2011-01-18,bahar,2011,1,0,2,1,2,8.883347,11.61665,86.16670000000000,9.833925000000000,683
18,19,2011-01-19,bahar,2011,1,0,3,1,2,11.979134,14.9211,74.1739,13.957239,1650
19,20,2011-01-20,bahar,2011,1,0,4,1,2,10.728347,12.7525,53.833300000000000,13.125568,1927
20,21,2011-01-21,bahar,2011,1,0,5,1,1,7.2775,7.89165,45.7083,23.667214,1543
21,22,2011-01-22,bahar,2011,1,0,6,0,1,2.4243464,3.9534800000000000,40.0,11.52199,981
22,23,2011-01-23,bahar,2011,1,0,0,0,1,3.9573897000000000,4.941955000000000,43.6522,16.5222,986
23,24,2011-01-24,bahar,2011,1,0,1,1,1,?,5.8965,49.1739,10.60811,1416
24,25,2011-01-25,bahar,2011,1,0,2,1,2,9.162598000000000,11.7263,61.695700000000000,8.696332,1985
25,26,2011-01-26,bahar,2011,1,0,3,1,3,8.9175,10.18,86.25,19.68795,506
26,27,2011-01-27,bahar,2011,1,0,4,1,1,7.995,10.985,68.75,7.627079000000000,431
27,28,2011-01-28,bahar,2011,1,0,5,1,2,8.342598000000000,11.16585,79.30430000000000,8.2611,1167
28,29,2011-01-29,bahar,2011,1,0,6,0,1,8.057402,10.606300000000000,65.1739,9.739455000000000,1098
29,30,2011-01-30,bahar,2011,1,0,0,0,1,8.877402,12.5161,72.2174,4.956834200000000,1096
30,31,2011-01-31,bahar,2011,1,0,1,1,2,7.414153,9.3125,60.375,12.541864,1501
31,32,2011-02-01,bahar,2011,2,0,2,1,2,7.8791340000000000,11.726500000000000,82.9565,3.5652710000000000,1360
32,33,2011-02-02,bahar,2011,2,0,3,1,2,10.66,12.72085,77.5417,17.708636,1526
33,34,2011-02-03,bahar,2011,2,0,4,1,1,7.665237000000000,8.8939,43.7826,18.609384,1550
34,35,2011-02-04,bahar,2011,2,0,5,1,2,8.663464,11.42935,58.521700000000000,8.565213,1708
35,36,2011-02-05,bahar,2011,2,0,6,0,2,9.566653000000000,12.152900000000000,92.91670000000000,10.792293,1005
36,37,2011-02-06,bahar,2011,2,0,0,0,1,11.719153,14.58355,56.833300000000000,9.5006,1623
37,38,2011-02-07,bahar,2011,2,0,1,1,1,11.138347,15.1829,73.83330000000000,3.0423561000000000,1712
38,39,2011-02-08,bahar,2011,2,0,2,1,1,9.054153,9.9123,53.7917,24.25065,1530
39,40,2011-02-09,bahar,2011,2,0,3,1,2,5.526103000000000,7.21415,49.4783,12.652213,1605
40,41,2011-02-10,bahar,2011,2,0,4,1,1,5.918268,7.477400000000000,43.7391,14.869645,1538
41,42,2011-02-11,bahar,2011,2,0,5,1,1,7.752731000000000,10.67545,50.6364,7.272850000000000,1746
42,43,2011-02-12,bahar,2011,2,0,6,0,1,9.1225,11.6477,54.4167,13.625589000000000,1472
43,44,2011-02-13,bahar,2011,2,0,0,0,1,12.977402000000000,16.20565,45.7391,17.479161000000000,1589
44,45,2011-02-14,bahar,2011,2,0,1,1,1,17.015,19.9175,37.583300000000000,27.999836,1913
45,46,2011-02-15,bahar,2011,2,0,2,1,1,10.909567,12.7137,31.434800000000000,19.522058000000000,1815
46,47,2011-02-16,bahar,2011,2,0,3,1,1,13.048701000000000,15.810000000000000,42.3478,16.869997000000000,2115
47,48,2011-02-17,bahar,2011,2,0,4,1,1,?,21.4329,50.5,15.416968,2475
48,49,2011-02-18,bahar,2011,2,0,5,1,1,21.388347,25.599150000000000,51.6667,17.749975000000000,2927
49,50,2011-02-19,bahar,2011,2,0,6,0,1,16.365847,19.5702,18.7917,34.000021,1635
50,51,2011-02-20,bahar,2011,2,0,0,0,1,11.693897,13.8665,40.7826,14.956745,1812
51,52,2011-02-21,bahar,2011,2,1,1,0,2,12.436653000000000,14.203750000000000,60.5,20.625682,1107
52,53,2011-02-22,bahar,2011,2,0,2,1,1,7.471102,9.30165,57.7778,13.110761,1450
53,54,2011-02-23,bahar,2011,2,0,3,1,1,9.091299,12.285850000000000,42.3043,6.3055710000000000,1917
54,55,2011-02-24,bahar,2011,2,0,4,1,2,?,14.459550000000000,69.7391,16.783232000000000,1807
55,56,2011-02-25,bahar,2011,2,0,5,1,2,14.938268,17.52305,71.2174,23.218113,1461
56,57,2011-02-26,bahar,2011,2,0,6,0,1,11.5825,14.1096,53.7917,12.500257000000000,1969
57,58,2011-02-27,bahar,2011,2,0,0,0,1,14.082598,17.55545,68.0,8.391616000000000,2402
58,59,2011-02-28,bahar,2011,2,0,1,1,2,16.698193,20.005900000000000,87.6364,19.408962,1446
59,60,2011-03-01,bahar,2011,3,0,2,1,1,10.933347,13.19395,53.5,14.500475,1851
60,61,2011-03-02,bahar,2011,3,0,3,1,1,13.735000000000000,16.00355,44.9583,20.624811000000000,2134
61,62,2011-03-03,bahar,2011,3,0,4,1,1,8.131653,10.00665,31.833300000000000,15.125518000000000,1685
62,63,2011-03-04,bahar,2011,3,0,5,1,2,10.728347,12.783950000000000,61.0417,13.624182,1944
63,64,2011-03-05,bahar,2011,3,0,6,0,2,15.750847000000000,18.93895,78.91670000000000,16.875357,2077
64,65,2011-03-06,bahar,2011,3,0,0,0,2,15.437402000000000,18.3126,94.8261,23.000229,605
65,66,2011-03-07,bahar,2011,3,0,1,1,1,10.731299,11.92305,55.1304,22.870584,1872
66,67,2011-03-08,bahar,2011,3,0,2,1,1,11.9925,15.120000000000000,42.0833,8.083550000000000,2133
67,68,2011-03-09,bahar,2011,3,0,3,1,2,12.129153,14.3304,77.5417,14.750050000000000,1891
68,69,2011-03-10,bahar,2011,3,0,4,1,3,15.952731000000000,19.2834,0.0,17.545759000000000,623
69,70,2011-03-11,bahar,2011,3,0,5,1,2,12.977402000000000,15.25,64.95650000000000,15.608990000000000,1977
70,71,2011-03-12,bahar,2011,3,0,6,0,1,13.495847,16.287500000000000,59.458300000000000,14.791925000000000,2132
71,72,2011-03-13,bahar,2011,3,0,0,0,1,15.758268000000000,19.004550000000000,52.73910000000000,18.130468,2417
72,73,2011-03-14,bahar,2011,3,0,1,1,1,13.333897000000000,16.6,49.695700000000000,9.174042,2046
73,74,2011-03-15,bahar,2011,3,0,2,1,2,13.013031,15.908900000000000,65.5652,12.348703,2056
74,75,2011-03-16,bahar,2011,3,0,3,1,2,14.973897000000000,18.346500000000000,77.65220000000000,13.608839000000000,2192
75,76,2011-03-17,bahar,2011,3,0,4,1,1,17.015,20.51665,60.291700000000000,14.041793000000000,2744
76,77,2011-03-18,bahar,2011,3,0,5,1,1,22.14,26.350450000000000,52.5217,15.478139,3239
77,78,2011-03-19,bahar,2011,3,0,6,0,1,19.3725,23.32625,37.916700000000000,24.667189,3117
78,79,2011-03-20,bahar,2011,3,0,0,0,1,13.6325,16.287500000000000,47.375,13.917307000000000,2471
79,80,2011-03-21,yaz,2011,3,0,1,1,2,17.647835,20.48675,73.73910000000000,19.348461,2077
80,81,2011-03-22,yaz,2011,3,0,2,1,1,18.108347000000000,22.032100000000000,62.4583,15.125250000000000,2703
81,82,2011-03-23,yaz,2011,3,0,3,1,2,14.225237,16.89695,83.9565,15.695487000000000,2121
82,83,2011-03-24,yaz,2011,3,0,4,1,2,11.685000000000000,13.541650000000000,80.58330000000000,16.333729000000000,1865
83,84,2011-03-25,yaz,2011,3,0,5,1,1,10.830847000000000,12.8156,49.5,15.458575000000000,2210
84,85,2011-03-26,yaz,2011,3,0,6,0,1,?,12.87855,39.4167,14.041257,2496
85,86,2011-03-27,yaz,2011,3,0,0,0,2,10.374763000000000,12.51695,49.3913,12.348100000000000,1693
86,87,2011-03-28,yaz,2011,3,0,1,1,1,10.838268000000000,12.878700000000000,30.2174,14.217668,2028
87,88,2011-03-29,yaz,2011,3,0,2,1,1,12.4025,14.6454,31.416700000000000,15.208732,2425
88,89,2011-03-30,yaz,2011,3,0,3,1,2,12.300000000000000,14.8675,64.6667,11.583496,1536
89,90,2011-03-31,yaz,2011,3,0,4,1,3,11.001653,12.87875,91.8333,14.582282000000000,1685
90,91,2011-04-01,yaz,2011,4,0,5,1,2,12.300000000000000,14.172700000000000,68.625,17.333436,2227
91,92,2011-04-02,yaz,2011,4,0,6,0,2,12.915000000000000,15.78185,65.375,13.208782000000000,2252
92,93,2011-04-03,yaz,2011,4,0,0,0,1,15.511653000000000,18.93835,48.0,12.208271000000000,3249
93,94,2011-04-04,yaz,2011,4,0,1,1,1,23.506653,27.14645,42.625,25.833257,3115
94,95,2011-04-05,yaz,2011,4,0,2,1,2,16.980847,19.9175,64.2083,26.000489000000000,1795
95,96,2011-04-06,yaz,2011,4,0,3,1,1,16.024153,19.3804,47.0833,17.625221,2808
96,97,2011-04-07,yaz,2011,4,0,4,1,1,17.9375,21.684800000000000,60.291700000000000,10.874904000000000,3141
97,98,2011-04-08,yaz,2011,4,0,5,1,2,13.769153,16.223950000000000,83.625,15.208464,1471
98,99,2011-04-09,yaz,2011,4,0,6,0,2,14.0425,17.076450000000000,87.75,8.916561000000000,2455
99,100,2011-04-10,yaz,2011,4,0,0,0,2,17.493347,21.33685,85.75,9.833389,2895
100,101,2011-04-11,yaz,2011,4,0,1,1,2,24.421732000000000,28.260850000000000,71.6956,21.739758,3348
101,102,2011-04-12,yaz,2011,4,0,2,1,2,20.6025,24.6527,73.9167,18.416893000000000,2034
102,103,2011-04-13,yaz,2011,4,0,3,1,2,16.912500000000000,20.864150000000000,81.91670000000000,16.791339,2162
103,104,2011-04-14,yaz,2011,4,0,4,1,1,19.1675,23.1371,54.041700000000000,7.4169,3267
104,105,2011-04-15,yaz,2011,4,1,5,0,1,18.313347,22.09565,67.125,15.167125000000000,3126
105,106,2011-04-16,yaz,2011,4,0,6,0,3,17.664153,21.2746,88.83330000000000,22.834136,795
106,107,2011-04-17,yaz,2011,4,0,0,0,1,18.723347,22.2848,47.9583,20.334232,3744
107,108,2011-04-18,yaz,2011,4,0,1,1,1,21.0125,25.1573,54.25,10.958989,3429
108,109,2011-04-19,yaz,2011,4,0,2,1,2,?,24.462900000000000,66.5833,10.584057,3204
109,110,2011-04-20,yaz,2011,4,0,3,1,1,24.395,28.2196,61.4167,16.208975,3944
110,111,2011-04-21,yaz,2011,4,0,4,1,1,18.825847,22.6946,40.708300000000000,21.792286,4189
111,112,2011-04-22,yaz,2011,4,0,5,1,2,13.803347,16.0977,72.9583,14.707907000000000,1683
112,113,2011-04-23,yaz,2011,4,0,6,0,2,18.86,22.50605,88.79170000000000,15.458575000000000,4036
113,114,2011-04-24,yaz,2011,4,0,0,0,2,23.848347,27.58815,81.08330000000000,12.875725000000000,4191
114,115,2011-04-25,yaz,2011,4,0,1,1,1,24.873347,28.725,77.6667,12.417311,4073
115,116,2011-04-26,yaz,2011,4,0,2,1,1,25.898347000000000,29.704150000000000,72.9167,21.875500000000000,4400
116,117,2011-04-27,yaz,2011,4,0,3,1,2,25.420000000000000,28.7571,83.54170000000000,20.917400000000000,3872
117,118,2011-04-28,yaz,2011,4,0,4,1,2,25.317500000000000,28.946450000000000,70.08330000000000,21.500836,4058
118,119,2011-04-29,yaz,2011,4,0,5,1,1,20.91,24.87315,45.7083,16.084221,4595
119,120,2011-04-30,yaz,2011,4,0,6,0,1,19.3725,23.201050000000000,50.3333,15.750025,5312
120,121,2011-05-01,yaz,2011,5,0,0,0,2,18.518347,22.4102,76.2083,7.125718000000000,3351
121,122,2011-05-02,yaz,2011,5,0,1,1,2,22.515847000000000,26.64165,73.0,12.291418,4401
122,123,2011-05-03,yaz,2011,5,0,2,1,2,25.283347,29.10395,69.7083,22.958689,4451
123,124,2011-05-04,yaz,2011,5,0,3,1,2,16.980847,20.2325,73.70830000000000,22.042732,2633
124,125,2011-05-05,yaz,2011,5,0,4,1,1,18.825847,22.09585,44.416700000000000,19.791264000000000,4433
125,126,2011-05-06,yaz,2011,5,0,5,1,1,19.645847,23.70585,59.0,15.292482,4608
126,127,2011-05-07,yaz,2011,5,0,6,0,1,?,25.63105,54.125,10.750150000000000,4714
127,128,2011-05-08,yaz,2011,5,0,0,0,1,21.661653000000000,25.946650000000000,63.1667,5.0007125,4333
128,129,2011-05-09,yaz,2011,5,0,1,1,1,21.8325,26.2623,58.875,11.792000000000000,4362
129,130,2011-05-10,yaz,2011,5,0,2,1,1,21.8325,26.13605,48.9167,7.749957000000000,4803
130,131,2011-05-11,yaz,2011,5,0,3,1,1,22.2425,26.420000000000000,63.29170000000000,8.083014,4182
131,132,2011-05-12,yaz,2011,5,0,4,1,1,21.935000000000000,26.16815,74.75,12.707689,4864
132,133,2011-05-13,yaz,2011,5,0,5,1,2,21.0125,24.715,86.33330000000000,12.041575,4105
133,134,2011-05-14,yaz,2011,5,0,6,0,2,21.354153,25.03145,92.25,9.041650000000000,3409
134,135,2011-05-15,yaz,2011,5,0,0,0,2,23.0625,26.8,86.70830000000000,10.249593,4553
135,136,2011-05-16,yaz,2011,5,0,1,1,1,23.677500000000000,27.5256,78.79170000000000,8.500357000000000,3958
136,137,2011-05-17,yaz,2011,5,0,2,1,2,23.028347,26.926450000000000,83.7917,18.582718,4123
137,138,2011-05-18,yaz,2011,5,0,3,1,2,22.55,26.3579,87.0,13.499964,3855
138,139,2011-05-19,yaz,2011,5,0,4,1,2,21.764153,25.537100000000000,82.9583,7.2502710000000000,4575
139,140,2011-05-20,yaz,2011,5,0,5,1,1,22.003347,26.4521,71.9583,8.375871,4917
140,141,2011-05-21,yaz,2011,5,0,6,0,1,24.7025,28.59875,62.6667,8.083550000000000,5805
141,142,2011-05-22,yaz,2011,5,0,0,0,1,24.770847,28.725,74.9583,9.916536,4660
142,143,2011-05-23,yaz,2011,5,0,1,1,2,25.898347000000000,29.5148,81.0,15.667414000000000,4274
143,144,2011-05-24,yaz,2011,5,0,2,1,2,27.060000000000000,30.240650000000000,74.0833,13.875164,4492
144,145,2011-05-25,yaz,2011,5,0,3,1,1,27.094153,30.7771,69.625,10.333611,4978
145,146,2011-05-26,yaz,2011,5,0,4,1,1,29.041653,32.7344,67.75,13.376014000000000,4677
146,147,2011-05-27,yaz,2011,5,0,5,1,1,27.948347000000000,31.8504,65.375,16.125493,4679
147,148,2011-05-28,yaz,2011,5,0,6,0,1,26.889153,30.61895,72.9583,15.416164000000000,4758
148,149,2011-05-29,yaz,2011,5,0,0,0,1,27.3675,30.777500000000000,81.875,14.333846000000000,4788
149,150,2011-05-30,yaz,2011,5,1,1,0,1,?,33.5546,68.5,8.792075,4098
150,151,2011-05-31,yaz,2011,5,0,2,1,1,31.775000000000000,36.26915,63.6667,7.459043000000000,3982
151,152,2011-06-01,yaz,2011,6,0,3,1,2,31.330847000000000,36.04835,67.7083,13.875164,3974
152,153,2011-06-02,yaz,2011,6,0,4,1,1,29.315000000000000,32.1971,30.5,19.583229000000000,4968
153,154,2011-06-03,yaz,2011,6,0,5,1,1,25.420000000000000,29.356650000000000,35.4167,16.959107,5312
154,155,2011-06-04,yaz,2011,6,0,6,0,1,26.035,29.7348,45.625,8.250514,5342
155,156,2011-06-05,yaz,2011,6,0,0,0,2,26.581653000000000,30.8402,65.25,9.292364000000000,4906
156,157,2011-06-06,yaz,2011,6,0,1,1,1,27.811653,31.0929,60.0,8.167032,4548
157,158,2011-06-07,yaz,2011,6,0,2,1,1,29.0075,32.7975,59.791700000000000,12.583136,4833
158,159,2011-06-08,yaz,2011,6,0,3,1,1,31.809153,36.36395,62.208300000000000,9.166739,4401
159,160,2011-06-09,yaz,2011,6,0,4,1,2,33.141653,37.87895,56.833300000000000,10.042161,3915
160,161,2011-06-10,yaz,2011,6,0,5,1,1,30.955000000000000,35.1646,60.5,9.417118000000000,4586
161,162,2011-06-11,yaz,2011,6,0,6,0,1,29.725000000000000,33.901900000000000,65.45830000000000,10.374950000000000,4966
162,163,2011-06-12,yaz,2011,6,0,0,0,1,28.392500000000000,32.166250000000000,74.7917,10.958989,4460
163,164,2011-06-13,yaz,2011,6,0,1,1,1,26.035,30.082700000000000,49.4583,20.45845,5020
164,165,2011-06-14,yaz,2011,6,0,2,1,1,24.770847,29.5773,50.708300000000000,18.041961,4891
165,166,2011-06-15,yaz,2011,6,0,3,1,1,25.693347,29.3877,47.1667,11.250104000000000,5180
166,167,2011-06-16,yaz,2011,6,0,4,1,2,25.761653000000000,29.767300000000000,68.8333,13.833557,3767
167,168,2011-06-17,yaz,2011,6,0,5,1,1,26.615847000000000,30.01915,73.5833,9.582943000000000,4844
168,169,2011-06-18,yaz,2011,6,0,6,0,1,28.563347,32.197700000000000,67.0417,8.000336000000000,5119
169,170,2011-06-19,yaz,2011,6,0,0,0,2,28.665847,32.292300000000000,66.6667,6.834,4744
170,171,2011-06-20,yaz,2011,6,0,1,1,2,26.035,29.767300000000000,74.625,10.416825,4010
171,172,2011-06-21,sonbahar,2011,6,0,2,1,2,27.914153000000000,31.8823,77.0417,11.458675000000000,4835
172,173,2011-06-22,sonbahar,2011,6,0,3,1,1,?,34.69145,70.75,11.541554,4507
173,174,2011-06-23,sonbahar,2011,6,0,4,1,2,29.861653,34.69165,70.3333,15.999868,4790
174,175,2011-06-24,sonbahar,2011,6,0,5,1,1,29.690847,32.82915,57.3333,14.875675,4991
175,176,2011-06-25,sonbahar,2011,6,0,6,0,1,28.495000000000000,32.16565,48.3333,14.041257,5202
176,177,2011-06-26,sonbahar,2011,6,0,0,0,1,27.880000000000000,31.88145,51.3333,6.333731100000000,5305
177,178,2011-06-27,sonbahar,2011,6,0,1,1,2,27.982500000000000,31.8502,65.8333,7.208396000000000,4708
178,179,2011-06-28,sonbahar,2011,6,0,2,1,1,30.510847000000000,34.6279,63.416700000000000,9.666961000000000,4648
179,180,2011-06-29,sonbahar,2011,6,0,3,1,1,29.861653,32.7344,49.7917,17.542007,5225
180,181,2011-06-30,sonbahar,2011,6,0,4,1,1,28.563347,31.8504,43.416700000000000,12.415904000000000,5515
181,182,2011-07-01,sonbahar,2011,7,0,5,1,1,29.622500000000000,32.6081,39.625,6.8747360000000000,5362
182,183,2011-07-02,sonbahar,2011,7,0,6,0,1,30.271653,33.3654,44.4583,7.709154000000000,5119
